manual_species,count,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxon_id,taxon_id_is_new,common_name_id,common_name_id_is_new,needs_manual_review,review_reason
gråsäl,3,animal (common name),Halichoerus,Phocidae,Carnivora,gråsäl,Halichoerus grypus,Animalia,2434806.0,Halichoerus grypus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2434806,Atlantic Gray Seal,gråsäl,,carried-over (species_split_taxa_gbif_matches.csv),Halichoerus,Phocidae,Carnivora,Animalia,Halichoerus grypus,47044,True,4317,True,False,
böna?,3,species (common name),Phaseolus,Fabaceae,Fabales,böna,Phaseolus vulgaris,Plantae,5350452.0,Phaseolus vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/5350452,Bean,böna,,carried-over (species_split_taxa_gbif_matches.csv),Phaseolus,Fabaceae,Fabales,Plantae,Phaseolus vulgaris,2494,False,1934,False,True,marked uncertain ('?') in the manual mapping
benved,3,species (common name),Evonymus,Celastraceae,Insertis Sedis,benved,Evonymus europaeus,Plantae,7403009.0,Evonymus europaeus,SPECIES,EXACT,100.0,https://www.gbif.org/species/7403009,,benved,,carried-over (species_split_taxa_gbif_matches.csv),Euonymus,Celastraceae,Celastrales,Plantae,Evonymus europaeus,1622,False,1302,False,False,
cf acer sp,3,genus (latin),Acer,Acoraceae,Alismatales,,,Plantae,3189834.0,Acer,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3189834,Maple,cf acer sp,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer,47045,True,4318,True,False,
säd,3,,,,,,,,,,,,,,,säd,,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
oxel,3,species (common name),Sorbus,Rosaceae,Rosales,oxel,Sorbus intermedia,Plantae,5015.0,Rosaceae,FAMILY,HIGHERRANK,99.0,https://www.gbif.org/species/5015,Rose Family,oxel,,carried-over (species_split_taxa_gbif_matches.csv),,Rosaceae,Rosales,Plantae,Sorbus intermedia,4943,False,3775,False,False,
hagtorn,3,genus (suffix-inferred),Crataegus,Rosaceae,Rosales,,,Plantae,3013395.0,Crataegus,GENUS,EXACT,96.0,https://www.gbif.org/species/3013395,Haw,hagtorn,,carried-over (species_split_taxa_gbif_matches.csv),Crataegus,Rosaceae,Rosales,Plantae,Crataegus,47046,True,4319,True,False,
gråärt,3,gbif only (no prior SEAD anchor),Pisum,Fabaceae,Fabales,,,Plantae,160020585,Pisum sativum arvense,VARIETY,VERNACULAR,,,,gråärt,,species/search (vernacular),Pisum,Fabaceae,Fabales,Plantae,,47047,True,4320,True,True,weak GBIF match (VERNACULAR)
getapel,3,species (common name),Rhamnus,Rhamnaceae,Rosales,getapel,Rhamnus catharticus,Plantae,3039491.0,Rhamnus cathartica,SPECIES,FUZZY,97.0,https://www.gbif.org/species/3039491,Buckthorn,getapel,,carried-over (species_split_taxa_gbif_matches.csv),Rhamnus,Rhamnaceae,Rosales,Plantae,Rhamnus catharticus,4560,False,3477,False,True,weak GBIF match (FUZZY)
triticum aestivum,3,,,,,,,,,,,,,,,triticum aestivum,,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
triticum sp,3,genus (latin),Triticum,Poaceae,Poales,,,Plantae,2706388.0,Triticum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706388,Wheat,triticum sp,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum,47019,True,4321,True,False,
