manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
populus sp,26,genus (latin),,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar","populus, populus sp",populus,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,Salicales,False,Salicaceae,False,Populus,False,sp.,Populus sp.,39607,False,True,4301,True,"Aspen, Cottonwood, Poplar",1,"new English common name 'Aspen, Cottonwood, Poplar'",False,
älg,25,animal (common name),älg,Alces alces,Animalia,2440940.0,Alces alces,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440940,Alce,älg,älg,,carried-over (species_split_taxa_gbif_matches.csv),Alces,Cervidae,Artiodactyla,Animalia,Alces alces,Artiodactyla,True,Cervidae,True,Alces,True,alces,Alces alces,47031,True,False,4302,True,älg,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Alces'; new taxon 'Alces alces' (author_id NULL); new Swedish common name 'älg',False,
spelvete,24,species (common name),speltvete,Triticum spelta,Plantae,2706402.0,Triticum spelta,SPECIES,EXACT,100.0,https://www.gbif.org/species/2706402,Spelt,"speltvete, spelvete",spelvete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum spelta,Poales,False,Poaceae,False,Triticum,False,spelta,Triticum spelta,18227,False,True,4303,True,spelvete,2,new Swedish common name 'spelvete',False,
hund,22,animal (common name),hund,Canis lupus familiaris,Animalia,6164210.0,Canis lupus familiaris,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6164210,Domestic Dog,hund,hund,,carried-over (species_split_taxa_gbif_matches.csv),Canis,Canidae,Carnivora,Animalia,Canis lupus familiaris,Carnivora,True,Canidae,True,Canis,True,lupus familiaris,Canis lupus familiaris,47032,True,False,4304,True,hund,2,new order 'Carnivora'; new family 'Canidae'; new genus 'Canis'; new taxon 'Canis lupus familiaris' (author_id NULL); new Swedish common name 'hund',False,
brudbröd,22,species (common name),brudbröd,Filipendula vulgaris,Plantae,2988069.0,Filipendula vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2988069,Dropwort,"brudberöd, brudbröd",brudbröd,,carried-over (species_split_taxa_gbif_matches.csv),Filipendula,Rosaceae,Rosales,Plantae,Filipendula vulgaris,Rosales,False,Rosaceae,False,Filipendula,False,vulgaris,Filipendula vulgaris,47033,True,False,4305,True,brudbröd,2,new taxon 'Filipendula vulgaris' (author_id NULL); new Swedish common name 'brudbröd',False,
kronhjort,20,animal (common name),kronhjort,Cervus elaphus,Animalia,2440958.0,Cervus elaphus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus),kronhjort,kronhjort,,carried-over (species_split_taxa_gbif_matches.csv),Cervus,Cervidae,Artiodactyla,Animalia,Cervus elaphus,Artiodactyla,True,Cervidae,True,Cervus,True,elaphus,Cervus elaphus,47030,True,False,4306,True,kronhjort,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Cervus'; new taxon 'Cervus elaphus' (author_id NULL); new Swedish common name 'kronhjort',False,
(sol)?,19,,,,,,,,,,,,(sol),(sol),,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
brakved,18,species (common name),brakved,Frangula alnus,Plantae,3039454.0,Frangula alnus,SPECIES,EXACT,100.0,https://www.gbif.org/species/3039454,Alder Buckthorn,brakved,brakved,,carried-over (species_split_taxa_gbif_matches.csv),Frangula,Rhamnaceae,Rosales,Plantae,Frangula alnus,Rosales,False,Rhamnaceae,False,Frangula,False,alnus,Frangula alnus,47034,True,False,4307,True,brakved,2,new taxon 'Frangula alnus' (author_id NULL); new Swedish common name 'brakved',False,
cf hordeum vulgare,17,species (latin),,Hordeum vulgare var vulgare,Plantae,2706050.0,Hordeum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706050,Barley,"cf hordeum sp, cf hordeum vulgare, hordeum sp, hordeum vulgare",hordeum vulgare,,carried-over (species_split_taxa_gbif_matches.csv),Hordeum,Poaceae,Poales,Plantae,Hordeum vulgare var vulgare,Poales,False,Poaceae,False,Hordeum,False,vulgare var vulgare,Hordeum vulgare var vulgare,3972,False,True,3054,False,sexradigt korn,2,,False,
ull,14,"genus (suffix, ambiguous)",,,Plantae,160027178,Eriophorum,GENUS,VERNACULAR,,,,"ull, ulltextil",ull,"Eriophorum, Nymphoides, Polemonium",species/search (vernacular),Eriophorum,Cyperaceae,Poales,Plantae,,Poales,False,Cyperaceae,False,Eriophorum,False,sp.,Eriophorum sp.,18253,False,True,4308,True,ull,2,new Swedish common name 'ull',True,"ambiguous genus suffix match, candidates: Eriophorum, Nymphoides, Polemonium; weak GBIF match (VERNACULAR)"
ren,12,animal (common name),ren,Rangifer tarandus,Animalia,5220114.0,Rangifer tarandus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220114,Caribou,"ren, renhår",ren,,carried-over (species_split_taxa_gbif_matches.csv),Rangifer,Cervidae,Artiodactyla,Animalia,Rangifer tarandus,Artiodactyla,True,Cervidae,True,Rangifer,True,tarandus,Rangifer tarandus,47035,True,False,4309,True,ren,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Rangifer'; new taxon 'Rangifer tarandus' (author_id NULL); new Swedish common name 'ren',False,
